,edit_count,sentiment,neg_sentiment
2020-06-18,0.6333333333333333,-0.10716344694296517,0.5
2020-06-19,0.6333333333333333,-0.10716344694296517,0.5
2020-06-20,0.6333333333333333,-0.10716344694296517,0.5
2020-06-21,0.7666666666666667,-0.10974166870117186,0.5666666666666667
2020-06-22,0.8,-0.14265836159388223,0.6
2020-06-23,0.8666666666666667,-0.1759325263897578,0.6666666666666666
2020-06-24,0.36666666666666664,-0.15909964541594188,0.3
2020-06-25,0.3,-0.1258729636669159,0.23333333333333334
2020-06-26,0.3,-0.1258729636669159,0.23333333333333334
2020-06-27,0.3,-0.1258729636669159,0.23333333333333334
2020-06-28,0.3,-0.1258729636669159,0.23333333333333334
2020-06-29,0.3,-0.12586228648821512,0.23333333333333334
2020-06-30,0.3,-0.12586228648821512,0.23333333333333334
2020-07-01,0.3,-0.12586228648821512,0.23333333333333334
2020-07-02,0.3,-0.12586228648821512,0.23333333333333334
2020-07-03,0.3,-0.13535473148028057,0.23333333333333334
2020-07-04,0.3,-0.13535473148028057,0.23333333333333334
2020-07-05,0.3,-0.13535473148028057,0.23333333333333334
2020-07-06,0.3,-0.13535473148028057,0.23333333333333334
2020-07-07,0.3,-0.13535473148028057,0.23333333333333334
2020-07-08,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-09,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-10,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-11,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-12,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-13,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-14,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-15,0.43333333333333335,-0.1480472654104233,0.3333333333333333
2020-07-16,0.4666666666666667,-0.18109202086925508,0.36666666666666664
2020-07-17,0.5,-0.21430745820204417,0.4
2020-07-18,0.5,-0.21430745820204417,0.4
2020-07-19,0.5333333333333333,-0.24763266742229462,0.43333333333333335
2020-07-20,0.6333333333333333,-0.28036298784944746,0.5333333333333333
2020-07-21,0.6666666666666666,-0.2863348087999556,0.5666666666666667
2020-07-22,0.6333333333333333,-0.2534181159072452,0.5333333333333333
2020-07-23,0.6,-0.2528734099202686,0.5
2020-07-24,0.6,-0.2528734099202686,0.5
2020-07-25,0.6,-0.2528734099202686,0.5
2020-07-26,0.6,-0.2528734099202686,0.5
2020-07-27,0.6,-0.2528734099202686,0.5
2020-07-28,0.6,-0.2528734099202686,0.5
2020-07-29,0.6,-0.2529035142395231,0.5
2020-07-30,0.6666666666666666,-0.2570903491311603,0.5333333333333333
2020-07-31,0.6666666666666666,-0.2570903491311603,0.5333333333333333
2020-08-01,0.6666666666666666,-0.2570903491311603,0.5333333333333333
2020-08-02,0.7,-0.22031728241178725,0.5333333333333333
2020-08-03,0.7333333333333333,-0.2535285692744785,0.5666666666666667
2020-08-04,0.8,-0.2544561973545286,0.6
2020-08-05,0.8,-0.2544561973545286,0.6
2020-08-06,0.8,-0.2544561973545286,0.6
2020-08-07,0.6666666666666666,-0.2417636634243859,0.5
2020-08-08,0.6666666666666666,-0.2417636634243859,0.5
2020-08-09,0.6666666666666666,-0.2417636634243859,0.5
2020-08-10,0.6666666666666666,-0.2417636634243859,0.5
2020-08-11,0.6666666666666666,-0.2417636634243859,0.5
2020-08-12,0.8,-0.26034704211685394,0.6
2020-08-13,0.8333333333333334,-0.2936601535810365,0.6333333333333333
2020-08-14,0.8333333333333334,-0.2936601535810365,0.6333333333333333
2020-08-15,0.8,-0.2606153981222047,0.6
2020-08-16,0.7666666666666667,-0.22739996078941557,0.5666666666666667
2020-08-17,0.7666666666666667,-0.22739996078941557,0.5666666666666667
2020-08-18,0.7666666666666667,-0.16929052038325204,0.5333333333333333
2020-08-19,0.6666666666666666,-0.13656019995609917,0.43333333333333335
2020-08-20,0.5,-0.12801015724738438,0.3333333333333333
2020-08-21,0.5,-0.12801015724738438,0.3333333333333333
2020-08-22,0.4666666666666667,-0.09528069843848547,0.3
2020-08-23,0.4666666666666667,-0.09528069843848547,0.3
2020-08-24,0.5,-0.12827753374973933,0.3333333333333333
2020-08-25,0.5333333333333333,-0.16142116536696752,0.36666666666666664
2020-08-26,0.5333333333333333,-0.16142116536696752,0.36666666666666664
2020-08-27,0.5333333333333333,-0.16142116536696752,0.36666666666666664
2020-08-28,0.5,-0.12810155500968298,0.3333333333333333
2020-08-29,0.43333333333333335,-0.1239147201180458,0.3
2020-08-30,0.43333333333333335,-0.1239147201180458,0.3
2020-08-31,0.43333333333333335,-0.1239147201180458,0.3
2020-09-01,0.36666666666666664,-0.12739164084196092,0.26666666666666666
2020-09-02,0.3333333333333333,-0.09418035397926966,0.23333333333333334
2020-09-03,0.26666666666666666,-0.09325272589921951,0.2
2020-09-04,0.26666666666666666,-0.09325272589921951,0.2
2020-09-05,0.26666666666666666,-0.09325272589921951,0.2
2020-09-06,0.26666666666666666,-0.09325272589921951,0.2
2020-09-07,0.26666666666666666,-0.09325272589921951,0.2
2020-09-08,0.26666666666666666,-0.09325272589921951,0.2
2020-09-09,0.26666666666666666,-0.09325272589921951,0.2
2020-09-10,0.3,-0.12656827916701635,0.23333333333333334
2020-09-11,0.16666666666666666,-0.10798490047454834,0.13333333333333333
2020-09-12,0.13333333333333333,-0.07467178901036581,0.1
2020-09-13,0.13333333333333333,-0.07467178901036581,0.1
2020-09-14,0.13333333333333333,-0.07467178901036581,0.1
2020-09-15,0.16666666666666666,-0.04191879828770955,0.1
2020-09-16,0.16666666666666666,-0.041918798287709544,0.1
2020-09-17,0.13333333333333333,-0.06670302947362264,0.1
2020-09-18,0.13333333333333333,-0.06670302947362264,0.1
2020-09-19,0.13333333333333333,-0.06670302947362264,0.1
2020-09-20,0.13333333333333333,-0.06670302947362264,0.1
2020-09-21,0.13333333333333333,-0.06670302947362264,0.1
2020-09-22,0.13333333333333333,-0.06670302947362264,0.1
2020-09-23,0.1,-0.033706194162368766,0.06666666666666667
2020-09-24,0.06666666666666667,-0.000562562545140577,0.03333333333333333
2020-09-25,0.06666666666666667,-0.000562562545140577,0.03333333333333333
2020-09-26,0.1,-0.03365576267242431,0.06666666666666667
2020-09-27,0.13333333333333333,-0.05534241795539855,0.1
2020-09-28,0.13333333333333333,-0.05534241795539855,0.1
2020-09-29,0.13333333333333333,-0.05534241795539855,0.1
2020-09-30,0.13333333333333333,-0.05534241795539855,0.1
2020-10-01,0.13333333333333333,-0.05534241795539855,0.1
2020-10-02,0.13333333333333333,-0.05534241795539855,0.1
2020-10-03,0.13333333333333333,-0.05534241795539855,0.1
2020-10-04,0.13333333333333333,-0.05534241795539855,0.1
2020-10-05,0.13333333333333333,-0.05534241795539855,0.1
2020-10-06,0.13333333333333333,-0.05534241795539855,0.1
2020-10-07,0.13333333333333333,-0.05534241795539855,0.1
2020-10-08,0.13333333333333333,-0.05534241795539855,0.1
2020-10-09,0.13333333333333333,-0.05534241795539855,0.1
2020-10-10,0.1,-0.02202686468760172,0.06666666666666667
2020-10-11,0.1,-0.02202686468760172,0.06666666666666667
2020-10-12,0.1,-0.02202686468760172,0.06666666666666667
2020-10-13,0.13333333333333333,-0.05532947381337483,0.1
2020-10-14,0.16666666666666666,-0.08864875038464864,0.13333333333333333
2020-10-15,0.13333333333333333,-0.1214017411073049,0.13333333333333333
2020-10-16,0.23333333333333334,-0.13333644005987377,0.2
2020-10-17,0.23333333333333334,-0.13333644005987377,0.2
